date,rate,year,month,month_name,quarter
5/1/2019,3.65,2019,5,May,2019Q2
6/1/2019,20.42,2019,6,June,2019Q2
7/1/2019,13.44,2019,7,July,2019Q3
8/1/2019,4.2,2019,8,August,2019Q3
9/1/2019,6.29,2019,9,September,2019Q3
10/1/2019,7.29,2019,10,October,2019Q4
11/1/2019,27.27,2019,11,November,2019Q4
12/1/2019,26.53,2019,12,December,2019Q4
1/1/2020,4.66,2020,1,January,2020Q1
2/1/2020,5.83,2020,2,February,2020Q1
3/1/2020,4.77,2020,3,March,2020Q1
4/1/2020,17.39,2020,4,April,2020Q2
5/1/2020,10,2020,5,May,2020Q2
6/1/2020,9.23,2020,6,June,2020Q2
7/1/2020,5.08,2020,7,July,2020Q3
8/1/2020,6.23,2020,8,August,2020Q3
9/1/2020,16.17,2020,9,September,2020Q3
10/1/2020,1.58,2020,10,October,2020Q4
